Episode,Avg_Reward,Min_Reward,Max_Reward
500,22.648,8.0,86.0
1000,22.15,8.0,79.0
1500,142.986,8.0,500.0
2000,283.454,10.0,500.0
2500,447.43,15.0,500.0
3000,488.022,44.0,500.0
3500,489.356,14.0,500.0
4000,473.802,14.0,500.0
4500,468.608,9.0,500.0
5000,424.53,10.0,500.0
5500,449.182,12.0,500.0
6000,374.442,10.0,500.0
6500,464.264,10.0,500.0
7000,268.418,12.0,500.0
7500,304.068,10.0,500.0
8000,471.712,10.0,500.0
8500,435.152,12.0,500.0
9000,424.358,10.0,500.0
9500,275.762,10.0,500.0
10000,385.282,13.0,500.0
10500,454.686,11.0,500.0
11000,352.858,10.0,500.0
11500,422.91,10.0,500.0
12000,434.142,10.0,500.0
12500,371.282,9.0,500.0
13000,416.412,9.0,500.0
13500,282.53,11.0,500.0
14000,435.286,10.0,500.0
14500,444.152,10.0,500.0
15000,404.534,10.0,500.0
15500,406.2,10.0,500.0
16000,303.656,12.0,500.0
16500,480.942,15.0,500.0
17000,422.6,12.0,500.0
17500,380.33,9.0,500.0
18000,415.13,11.0,500.0
18500,329.642,12.0,500.0
19000,451.402,9.0,500.0
19500,337.468,10.0,500.0
20000,473.534,10.0,500.0
20500,339.204,9.0,500.0
21000,402.906,13.0,500.0
21500,428.266,16.0,500.0
22000,377.508,9.0,500.0
22500,415.74,11.0,500.0
23000,365.306,10.0,500.0
23500,420.36,9.0,500.0
24000,419.44,9.0,500.0
24500,424.572,12.0,500.0
25000,384.82,11.0,500.0
25500,454.39,15.0,500.0
26000,240.712,10.0,500.0
26500,402.192,10.0,500.0
27000,467.216,15.0,500.0
27500,352.644,9.0,500.0
28000,399.994,13.0,500.0
28500,384.82,13.0,500.0
29000,436.692,11.0,500.0
29500,364.522,11.0,500.0
30000,406.084,11.0,500.0
30500,339.994,9.0,500.0
31000,395.194,11.0,500.0
31500,434.104,12.0,500.0
32000,400.586,10.0,500.0
32500,358.2,11.0,500.0
33000,405.778,14.0,500.0
33500,452.698,12.0,500.0
34000,299.798,10.0,500.0
34500,426.108,11.0,500.0
35000,400.88,11.0,500.0
35500,468.948,11.0,500.0
36000,418.774,10.0,500.0
36500,207.924,8.0,500.0
37000,202.34,10.0,500.0
37500,168.696,10.0,421.0
38000,466.034,12.0,500.0
38500,485.318,11.0,500.0
39000,462.38,10.0,500.0
39500,398.714,10.0,500.0
40000,398.01,10.0,500.0
40500,377.56,10.0,500.0
41000,373.738,9.0,500.0
41500,376.37,14.0,500.0
42000,239.164,10.0,500.0
42500,421.804,140.0,500.0
43000,429.044,10.0,500.0
43500,424.796,10.0,500.0
44000,226.544,9.0,500.0
44500,393.664,120.0,500.0
45000,485.488,12.0,500.0
45500,363.418,9.0,500.0
46000,421.766,13.0,500.0
46500,223.33,9.0,500.0
47000,414.996,146.0,500.0
47500,445.376,25.0,500.0
48000,174.88,9.0,500.0
48500,286.132,16.0,500.0
49000,477.642,206.0,500.0
49500,477.616,13.0,500.0
50000,473.416,10.0,500.0
