Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-199.668,-200.0,-153.0
5000,-182.81,-200.0,-118.0
5500,-160.312,-200.0,-114.0
6000,-154.908,-200.0,-111.0
6500,-153.446,-200.0,-111.0
7000,-151.384,-200.0,-111.0
7500,-148.17,-200.0,-92.0
8000,-145.732,-200.0,-93.0
8500,-136.604,-200.0,-90.0
9000,-140.46,-200.0,-87.0
9500,-138.238,-200.0,-88.0
10000,-136.242,-200.0,-91.0
10500,-141.894,-200.0,-87.0
11000,-150.712,-200.0,-87.0
11500,-129.348,-200.0,-86.0
12000,-136.55,-200.0,-84.0
12500,-141.136,-199.0,-84.0
13000,-139.136,-200.0,-85.0
13500,-137.664,-200.0,-83.0
14000,-141.576,-200.0,-84.0
14500,-114.336,-183.0,-85.0
15000,-129.412,-200.0,-84.0
15500,-113.566,-200.0,-84.0
16000,-112.032,-183.0,-85.0
16500,-111.738,-190.0,-86.0
17000,-108.322,-177.0,-85.0
17500,-120.134,-200.0,-83.0
18000,-113.51,-200.0,-83.0
18500,-119.448,-200.0,-86.0
19000,-115.286,-194.0,-83.0
19500,-116.978,-197.0,-83.0
20000,-136.522,-200.0,-84.0
20500,-131.438,-200.0,-84.0
21000,-122.408,-200.0,-86.0
21500,-108.196,-200.0,-83.0
22000,-114.852,-200.0,-83.0
22500,-118.152,-200.0,-83.0
23000,-122.058,-200.0,-83.0
23500,-125.56,-200.0,-83.0
24000,-128.608,-200.0,-83.0
24500,-144.02,-200.0,-83.0
25000,-173.564,-200.0,-84.0
25500,-193.116,-200.0,-83.0
26000,-192.864,-200.0,-85.0
26500,-157.87,-200.0,-83.0
27000,-134.256,-200.0,-84.0
27500,-134.23,-200.0,-83.0
28000,-122.216,-200.0,-83.0
28500,-135.846,-200.0,-84.0
29000,-138.612,-200.0,-84.0
29500,-132.712,-200.0,-83.0
30000,-132.316,-200.0,-84.0
30500,-142.356,-200.0,-86.0
31000,-155.046,-200.0,-88.0
31500,-189.818,-200.0,-94.0
32000,-186.178,-200.0,-86.0
32500,-166.392,-200.0,-92.0
33000,-141.88,-200.0,-85.0
33500,-136.804,-200.0,-86.0
34000,-132.954,-200.0,-85.0
34500,-128.932,-200.0,-84.0
35000,-127.05,-200.0,-83.0
35500,-132.074,-200.0,-83.0
36000,-139.424,-200.0,-83.0
36500,-132.642,-200.0,-83.0
37000,-126.952,-193.0,-83.0
37500,-127.746,-200.0,-83.0
38000,-128.638,-200.0,-83.0
38500,-139.006,-200.0,-83.0
39000,-160.626,-200.0,-84.0
39500,-171.864,-200.0,-86.0
40000,-188.84,-200.0,-85.0
40500,-173.63,-200.0,-83.0
41000,-178.414,-200.0,-84.0
41500,-200.0,-200.0,-200.0
42000,-200.0,-200.0,-200.0
42500,-200.0,-200.0,-200.0
43000,-200.0,-200.0,-200.0
43500,-200.0,-200.0,-200.0
44000,-200.0,-200.0,-200.0
44500,-200.0,-200.0,-200.0
45000,-200.0,-200.0,-200.0
45500,-199.492,-200.0,-136.0
46000,-196.73,-200.0,-129.0
46500,-157.554,-200.0,-84.0
47000,-122.052,-200.0,-83.0
47500,-128.566,-200.0,-83.0
48000,-141.628,-200.0,-83.0
48500,-151.288,-200.0,-83.0
49000,-138.016,-200.0,-83.0
49500,-137.702,-200.0,-83.0
