Episode,Avg_Reward,Min_Reward,Max_Reward
0,43.948,10.0,321.0
500,80.816,9.0,380.0
1000,102.316,11.0,236.0
1500,119.634,10.0,330.0
2000,116.498,10.0,217.0
2500,114.428,10.0,192.0
3000,117.678,10.0,250.0
3500,126.37,12.0,216.0
4000,121.12,10.0,218.0
4500,131.282,16.0,248.0
5000,128.912,12.0,271.0
5500,128.016,10.0,288.0
6000,129.532,11.0,500.0
6500,142.902,15.0,500.0
7000,141.926,10.0,436.0
7500,157.246,11.0,500.0
8000,166.422,11.0,500.0
8500,186.512,14.0,500.0
9000,199.254,11.0,500.0
9500,174.652,12.0,500.0
10000,170.592,10.0,500.0
10500,192.464,16.0,500.0
11000,202.602,12.0,500.0
11500,202.452,14.0,500.0
12000,192.262,16.0,500.0
12500,192.094,14.0,500.0
13000,216.684,12.0,500.0
13500,201.548,10.0,500.0
14000,228.284,16.0,500.0
14500,204.96,12.0,500.0
15000,187.96,13.0,500.0
15500,219.15,12.0,500.0
16000,234.462,13.0,500.0
16500,223.2,13.0,500.0
17000,221.684,14.0,500.0
17500,250.454,15.0,500.0
18000,242.156,10.0,500.0
18500,178.966,12.0,500.0
19000,224.162,16.0,500.0
19500,228.384,12.0,500.0
20000,256.112,16.0,500.0
20500,294.106,16.0,500.0
21000,280.79,12.0,500.0
21500,267.47,13.0,500.0
22000,250.424,10.0,500.0
22500,231.478,11.0,500.0
23000,219.044,15.0,500.0
23500,224.454,16.0,500.0
24000,253.586,11.0,500.0
24500,297.824,11.0,500.0
25000,283.832,12.0,500.0
25500,312.142,13.0,500.0
26000,303.614,16.0,500.0
26500,306.366,11.0,500.0
27000,262.476,10.0,500.0
27500,283.876,16.0,500.0
28000,279.288,13.0,500.0
28500,251.276,17.0,500.0
29000,305.83,13.0,500.0
29500,324.748,14.0,500.0
30000,333.072,14.0,500.0
30500,313.998,26.0,500.0
31000,312.8,14.0,500.0
31500,341.146,11.0,500.0
32000,344.902,12.0,500.0
32500,347.398,12.0,500.0
33000,321.776,12.0,500.0
33500,304.29,19.0,500.0
34000,340.018,12.0,500.0
34500,334.01,12.0,500.0
35000,312.32,10.0,500.0
35500,277.566,10.0,500.0
36000,302.694,12.0,500.0
36500,307.23,13.0,500.0
37000,329.712,11.0,500.0
37500,278.006,12.0,500.0
38000,293.524,26.0,500.0
38500,285.396,13.0,500.0
39000,266.122,15.0,500.0
39500,304.25,13.0,500.0
40000,256.508,14.0,500.0
40500,243.904,9.0,500.0
41000,258.242,11.0,500.0
41500,296.652,11.0,500.0
42000,300.88,13.0,500.0
42500,296.408,12.0,500.0
43000,279.764,13.0,500.0
43500,282.812,10.0,500.0
44000,294.754,13.0,500.0
44500,298.692,12.0,500.0
45000,314.002,11.0,500.0
45500,293.838,13.0,500.0
46000,300.208,13.0,500.0
46500,317.376,15.0,500.0
47000,352.274,12.0,500.0
47500,333.466,19.0,500.0
48000,314.18,13.0,500.0
48500,294.12,16.0,500.0
49000,263.488,23.0,500.0
49500,297.286,15.0,500.0
