Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-200.0,-200.0,-200.0
5000,-200.0,-200.0,-200.0
5500,-200.0,-200.0,-200.0
6000,-200.0,-200.0,-200.0
6500,-200.0,-200.0,-200.0
7000,-200.0,-200.0,-200.0
7500,-200.0,-200.0,-200.0
8000,-200.0,-200.0,-200.0
8500,-200.0,-200.0,-200.0
9000,-200.0,-200.0,-200.0
9500,-200.0,-200.0,-200.0
10000,-200.0,-200.0,-200.0
10500,-199.848,-200.0,-164.0
11000,-198.154,-200.0,-150.0
11500,-195.55,-200.0,-151.0
12000,-193.78,-200.0,-131.0
12500,-191.954,-200.0,-152.0
13000,-192.038,-200.0,-149.0
13500,-186.044,-200.0,-130.0
14000,-182.856,-200.0,-143.0
14500,-190.316,-200.0,-152.0
15000,-186.514,-200.0,-147.0
15500,-186.926,-200.0,-129.0
16000,-180.666,-200.0,-117.0
16500,-176.312,-200.0,-132.0
17000,-183.762,-200.0,-121.0
17500,-180.856,-200.0,-121.0
18000,-182.42,-200.0,-103.0
18500,-182.6,-200.0,-120.0
19000,-179.212,-200.0,-133.0
19500,-185.492,-200.0,-132.0
20000,-177.866,-200.0,-122.0
20500,-164.544,-200.0,-115.0
21000,-161.782,-200.0,-96.0
21500,-157.374,-200.0,-108.0
22000,-161.26,-200.0,-106.0
22500,-146.808,-200.0,-112.0
23000,-137.476,-200.0,-111.0
23500,-155.09,-200.0,-91.0
24000,-171.87,-200.0,-118.0
24500,-151.774,-200.0,-114.0
25000,-153.714,-200.0,-98.0
25500,-170.192,-200.0,-121.0
26000,-159.676,-200.0,-91.0
26500,-150.858,-200.0,-111.0
27000,-148.422,-200.0,-89.0
27500,-161.482,-200.0,-90.0
28000,-166.93,-200.0,-102.0
28500,-172.748,-200.0,-139.0
29000,-157.95,-200.0,-114.0
29500,-135.416,-200.0,-110.0
30000,-163.684,-200.0,-108.0
30500,-159.404,-200.0,-111.0
31000,-166.192,-200.0,-121.0
31500,-162.668,-200.0,-114.0
32000,-145.074,-200.0,-123.0
32500,-150.06,-176.0,-121.0
33000,-153.878,-175.0,-124.0
33500,-155.08,-175.0,-124.0
34000,-152.77,-200.0,-123.0
34500,-158.206,-200.0,-126.0
35000,-159.762,-200.0,-119.0
35500,-167.584,-200.0,-117.0
36000,-152.154,-200.0,-133.0
36500,-156.738,-200.0,-122.0
37000,-159.208,-200.0,-124.0
37500,-171.4,-200.0,-115.0
38000,-149.89,-200.0,-118.0
38500,-140.27,-200.0,-114.0
39000,-136.13,-200.0,-112.0
39500,-137.104,-200.0,-115.0
40000,-135.232,-200.0,-115.0
40500,-134.286,-194.0,-115.0
41000,-135.386,-200.0,-115.0
41500,-138.574,-200.0,-116.0
42000,-140.504,-156.0,-117.0
42500,-140.622,-156.0,-117.0
43000,-140.228,-154.0,-118.0
43500,-145.092,-200.0,-119.0
44000,-158.662,-200.0,-118.0
44500,-174.424,-200.0,-115.0
45000,-154.388,-200.0,-116.0
45500,-151.16,-200.0,-116.0
46000,-137.078,-200.0,-114.0
46500,-135.58,-162.0,-116.0
47000,-135.74,-200.0,-115.0
47500,-138.888,-200.0,-116.0
48000,-169.306,-200.0,-113.0
48500,-158.158,-200.0,-111.0
49000,-150.672,-200.0,-109.0
49500,-137.564,-200.0,-111.0
